,ICLN,QCLN,ARKQ,BOTZ,ROBO
2018-01-01,19.888712360087172,24.68085212733384,29.202178460272947,17.56722583615276,22.13034976210956
2018-01-02,19.922176300599553,25.044461060459497,29.158927301113984,17.860609483130254,21.965216979787893
2018-01-03,19.967627798191316,25.19952466412071,29.623764964858808,17.758320575397633,21.21566488191766
2018-01-04,21.290721738618345,25.03916516512073,29.487421358044344,17.982921976116575,21.058392007893897
2018-01-05,21.35624492440198,24.758622603308723,28.33105938491661,17.533119595625692,20.93429307640085
2018-01-08,21.359100709984773,25.113543018626647,28.303557081740085,16.871037813041198,20.415053378926597
2018-01-09,21.39730706252081,25.71989151588721,27.365727435791918,17.181068651745743,20.470843540945737
2018-01-10,21.919720300737932,25.43430836829234,28.296275915757406,17.04695740047485,20.404853038294572
2018-01-11,21.589156326305094,24.950632231000814,28.031703943564633,17.424547293260044,20.011677431652643
2018-01-12,21.750420166038328,25.044057179596578,27.897048489416058,17.022864425512154,20.6763161284683
2018-01-15,21.745640186946538,25.218365443882895,27.418714430034115,17.151208630427224,20.87195212710805
2018-01-16,21.63465722747339,24.91922247784581,27.574007932083198,17.386917793252678,21.309151923979986
2018-01-17,21.55674904721715,24.86534461956956,27.78145357887739,17.401625830997386,21.45063160749403
2018-01-18,21.339036548014676,24.896370902946238,28.574606414572617,17.274799396909994,21.3302281077032
2018-01-19,21.42562097662067,25.527635228885444,28.895205502166785,16.757399391976293,21.635344931287772
2018-01-22,20.616952826904466,26.282431797441742,29.3086431448847,16.756811839203216,20.764489440634808
2018-01-23,20.358986211718126,26.11889311199905,28.831829131539735,16.766687959262246,20.684868749554038
2018-01-24,20.61147073163419,26.437008363398515,29.454147240131192,17.102933850480593,20.470061108503245
2018-01-25,20.647206262611864,26.40672182040989,30.12617418844145,16.79198829591534,20.545653704494466
2018-01-26,20.39463238762115,26.91241034820444,30.104312552377852,17.105628835453473,20.654671968819077
2018-01-29,20.312691829434076,26.29572129701104,29.684969531119084,17.121940039039718,20.661601206665487
2018-01-30,21.217396299185843,26.42702587617839,29.69845275753124,17.15599504990225,21.163144402367728
2018-01-31,21.186862581299838,26.758100631985908,29.415975693700165,16.64425862026295,21.08215948730343
2018-02-01,21.691377039593277,26.448334363889124,27.751112155787638,16.770905524113104,20.496454921310182
2018-02-02,22.116126939554633,26.201071809295847,27.615368723920906,16.212010082620928,20.766888412466017
2018-02-05,22.569578854787004,25.835791367260157,27.60884719909483,16.098923744949083,20.54174082299313
2018-02-06,23.402354767730102,25.615114357778875,28.146564385878953,15.90918273999491,20.16730950471393
2018-02-07,23.589901577624268,25.59548599453004,27.541970480385807,15.444331708856975,20.257922961886678
2018-02-08,23.596678256421534,25.336093792808654,28.24590305328094,15.226527114454106,20.90625167076697
2018-02-09,23.098717791949408,25.538005140917793,29.1636560071358,14.931029162688368,20.79447267100413
2018-02-12,22.764538548918814,26.291186639249116,30.129993982803803,14.693566112169908,20.834794725108324
2018-02-13,24.305147114395588,26.418141797881795,30.87265100469094,15.070846512430036,20.632496786942756
2018-02-14,24.19068490141717,26.015145377191292,30.39215383251179,14.817066508195342,20.366314257572107
2018-02-15,23.82776753343849,26.576416953192545,30.71601882952802,14.399657544728049,19.663317001635956
2018-02-16,23.683400155012624,25.60858466171547,29.821011117556274,14.449683961442245,19.453215109258068
2018-02-19,23.67174094064891,25.437084599213616,30.616899095234157,14.281632490384098,18.466168658760633
2018-02-20,24.709923033928604,25.512096100458223,29.126951722085533,14.29777071476413,18.624675016966552
2018-02-21,24.06096912895992,25.626413998261956,28.501622553552252,14.078927917616522,19.019263409295615
2018-02-22,23.18119675074047,25.856332667530868,29.18557044540516,13.940030308349588,19.54084321549991
2018-02-23,23.48238274252824,24.963188012453156,28.676359174461886,14.166622498528458,19.890652465121736
2018-02-26,23.6380181185218,25.364757294440423,28.36020709015245,13.730653368106857,19.03531657572111
2018-02-27,23.169681263422437,25.044941229568007,28.31571164405543,13.844134553823592,18.399861690729985
2018-02-28,22.912094958707936,25.19240328873392,28.471743657617253,14.411539960511162,18.379843358070097
2018-03-01,23.016766419842106,24.90954660998094,27.689803076749506,14.07069352694117,18.25966016824879
2018-03-02,23.880782558600245,24.936768181579843,27.764205713377976,13.868584994067206,17.976295030030343
2018-03-05,24.519880089942667,24.211859362248834,26.646965700315548,13.886494582778688,18.060817151421965
2018-03-06,24.764681554804596,24.22995740182327,26.30173385383767,13.895122627058079,17.66262762037529
2018-03-07,25.415963271926742,24.860449723796773,25.71284474688695,13.82230579283733,17.570151971734113
2018-03-08,25.121841873817562,25.93259698128224,25.650740082348456,13.57286229280259,17.850528338660837
2018-03-09,24.18478100595509,25.77359002992287,26.123539868089555,14.039755014543946,17.286114203580674
2018-03-12,23.835314909552412,25.22286413403443,25.79298649879002,14.196562181474649,16.520125461966863
2018-03-13,24.062919404524244,25.015958112325606,25.22074611151971,13.950452120389794,17.147868424910367
2018-03-14,24.120575172449616,24.70630609496834,24.97117007329415,13.940125040702817,16.828036672346286
2018-03-15,24.154178035204346,23.657378605729882,25.273013384417677,13.637569033810516,16.961929035020116
2018-03-16,23.467727474370683,23.223487656836475,24.947146416867263,13.961263324132991,16.99856567966563
2018-03-19,23.437490107242386,23.588504877283246,25.27246511320592,13.710677495550566,17.509060538486676
2018-03-20,22.661554445595023,23.605597051602597,24.5942112208238,13.422807905789773,17.042872374930283
2018-03-21,23.078587789647802,23.28072253711729,24.055246903598594,13.272999569888944,16.583244039449802
2018-03-22,22.28552243813832,23.83665077039503,24.025552488027795,13.310191648292808,16.84868153616634
2018-03-23,22.23759875884627,23.269104782194688,24.069866576891844,13.37604473462967,16.906998216855875
2018-03-26,21.941305531143684,23.406194668716118,23.927727679272422,13.530066823707127,17.601226558917624
2018-03-27,22.06267478493323,23.626775613604654,24.016797432700123,13.267391545670336,16.771014858571036
2018-03-28,22.08267652464275,23.235182240271673,24.32137856879128,12.950870350869263,16.903215578803657
2018-03-29,23.5806904468084,22.872400920621583,23.438776408951245,13.405349668068734,16.362834049186592
2018-03-30,23.793517887522853,22.630584803973612,22.294002124350428,13.369353663493285,15.805883811455988
2018-04-02,24.490018219338396,22.234749112737873,21.835062057565914,13.308836755393804,16.24542569791711
2018-04-03,24.278835159164238,22.15799742392289,21.422329278579795,12.859297717767596,16.127261403604376
2018-04-04,24.01821449146071,22.86681389893686,21.21121682627504,12.490224464710607,15.777659223264164
2018-04-05,23.62413171018666,23.24145168728512,21.153603336252438,12.115163729183855,16.042710217496797
2018-04-06,23.851956759375714,23.204907343538338,20.142922211482315,11.65903419036561,15.594722252217274
2018-04-09,24.558954230642694,22.87987796161648,19.620051910876832,11.503613262635996,16.182186852687494
2018-04-10,24.825220813020636,23.157824393514357,19.434428924459198,11.658145868092351,16.21699911308739
2018-04-11,23.854548595177004,23.364159830418966,19.98997997925019,11.953120404190244,15.911634614543729
2018-04-12,23.294038944907204,23.39994369587156,19.418039937267746,12.03357485987095,15.436229530187681
2018-04-13,23.13358455538085,22.694136106929314,19.628396477183568,12.245796150871165,15.538410531011227
2018-04-16,23.04213927289689,22.351076130296008,19.297430173402674,11.720386952899373,16.423311803219296
2018-04-17,22.18469883859611,22.53454937443775,19.59269647346707,11.746416053342793,17.121716896729932
